feature_set,model,region,n,positives,positive_rate,auc_pr,auc_roc,f1,precision,recall,brier,tp,fp,tn,fn,threshold,val_f1_for_threshold
15_features_with_memory,XGBoost,D5D6_clean_without_914593_914595,636701,5853,0.009192697985396599,0.7358608041014155,0.9759364614590904,0.6618810430706124,0.5793050391075779,0.7719118400820092,0.023399850770559068,4518,3281,627567,1335,0.9104464054107666,0.3514117408079913
15_features_with_memory,CatBoost,D5D6_clean_without_914593_914595,636701,5853,0.009192697985396599,0.7317840755966519,0.9785631150039794,0.7379042690815006,0.7450365726227796,0.7309072270630446,0.027152196626325988,4278,1464,629384,1575,0.9507533985077975,0.30404068945979956
15_features_with_memory,LightGBM,D5D6_full,649491,5900,0.009084036576334392,0.7656548117551316,0.964346939704232,0.7557251908396947,0.7739872068230277,0.7383050847457627,0.011941136517938294,4356,1272,642319,1544,0.947219884941718,0.3263417643425016
15_features_with_memory,XGBoost,D5D6_full,649491,5900,0.009084036576334392,0.7380108154595904,0.9764949897514921,0.6637077997671711,0.5814635390107088,0.7730508474576271,0.02295895766895513,4561,3283,640308,1339,0.9104464054107666,0.3514117408079913
15_features_with_memory,CatBoost,D5D6_full,649491,5900,0.009084036576334392,0.7332792621277812,0.9790489818923582,0.7393462262536369,0.7466297960594539,0.7322033898305085,0.026639304366276723,4320,1466,642125,1580,0.9507533985077975,0.30404068945979956
15_features_with_memory,LightGBM,D5D6_full__exposed_any,136835,5870,0.04289838126210399,0.789918359934386,0.9272543296904103,0.7821168866145973,0.826722338204593,0.7420783645655877,0.04123942709136737,4356,913,130052,1514,0.947219884941718,0.3263417643425016
15_features_with_memory,XGBoost,D5D6_full__exposed_any,136835,5870,0.04289838126210399,0.7663072585781194,0.9396728978983226,0.7052729240760786,0.6456681766704416,0.7770017035775127,0.07448968111936252,4561,2503,128462,1309,0.9104464054107666,0.3514117408079913
15_features_with_memory,CatBoost,D5D6_full__exposed_any,136835,5870,0.04289838126210399,0.7651855765425183,0.9467339876689164,0.7650757106171965,0.7966070440715471,0.7359454855195912,0.08084930464020021,4320,1103,129862,1550,0.9507533985077975,0.30404068945979956
15_features_with_memory,LightGBM,D5D6_full__fraud_exposed,27260,5735,0.21038151137197358,0.8558692061137128,0.8804370498406691,0.8297426120114395,0.9152471083070453,0.7588491717523975,0.10109407857688031,4352,403,21122,1383,0.947219884941718,0.3263417643425016
15_features_with_memory,CatBoost,D5D6_full__fraud_exposed,27260,5735,0.21038151137197358,0.854854032154064,0.9018377163270949,0.8290664100096247,0.9252416756176155,0.7510026155187446,0.159658848444877,4307,348,21177,1428,0.9507533985077975,0.30404068945979956
15_features_with_memory,XGBoost,D5D6_full__fraud_exposed,27260,5735,0.21038151137197358,0.849101075297529,0.8922989002265163,0.8042477876106194,0.8165318957771788,0.7923278116826504,0.1514663469778308,4544,1021,20504,1191,0.9104464054107666,0.3514117408079913
15_features_with_memory,CatBoost,D5D6_full__history_exposed,109575,135,0.0012320328542094457,0.007363980921461349,0.7980734243014944,0.028792912513842746,0.016927083333333332,0.0962962962962963,0.06124311559967554,13,755,108685,122,0.9507533985077975,0.30404068945979956
15_features_with_memory,XGBoost,D5D6_full__history_exposed,109575,135,0.0012320328542094457,0.005075769285443785,0.7542939137968377,0.0208078335373317,0.01134089392928619,0.1259259259259259,0.0553394743084856,17,1482,107958,118,0.9104464054107666,0.3514117408079913
15_features_with_memory,LightGBM,D5D6_full__history_exposed,109575,135,0.0012320328542094457,0.004577356301628626,0.7796426927658653,0.012326656394453005,0.007782101167315175,0.02962962962962963,0.026348824312493684,4,510,108930,131,0.947219884941718,0.3263417643425016
15_features_with_memory,CatBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00028747723846351994,0.8406595971852124,0.0,0.0,0.0,0.012169903076752517,0,363,512263,30,0.9507533985077975,0.30404068945979956
15_features_with_memory,CatBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00028747723846351994,0.8406595971852124,0.0,0.0,0.0,0.012169903076752517,0,363,512263,30,0.9507533985077975,0.30404068945979956
15_features_with_memory,XGBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00027791401777180257,0.8392829600267381,0.0,0.0,0.0,0.009204692541195962,0,780,511846,30,0.9104464054107666,0.3514117408079913
15_features_with_memory,XGBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00027791401777180257,0.8392829600267381,0.0,0.0,0.0,0.009204692541195962,0,780,511846,30,0.9104464054107666,0.3514117408079913
15_features_with_memory,LightGBM,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00022389105495051984,0.8009276418545553,0.0,0.0,0.0,0.00412101622164767,0,359,512267,30,0.947219884941718,0.3263417643425016
15_features_with_memory,LightGBM,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00022389105495051984,0.8009276418545553,0.0,0.0,0.0,0.00412101622164767,0,359,512267,30,0.947219884941718,0.3263417643425016
